,Sponsor,Title,Summary,Start_Year,Start_Month,Phase,Enrollment,Status,Condition,Start_Month_Name,Start_Year_Period,Enrolled_Participants
47,Merck,"An Open-label, Randomised, Comparative, Multi-centre Study of the Immunogenicity and Safety of a 2-dose Regimen of ProQuad® Manufactured With rHA Administered to Healthy Children From 9 Months of Age","The primary study objectives are: - To demonstrate that a 2-dose regimen of ProQuad® manufactured with recombinant Human Albumin (rHA) administered at a 3-month interval to healthy children of 11 months of age at the time of Dose 1 is as immunogenic as in healthy children of 12 months of age at the time of Dose 1. - To demonstrate that a 2-dose regimen of ProQuad® rHA administered at a 3-month interval to healthy children of 9 months of age at the time of Dose 1 is as immunogenic as in healthy children of 12 months of age at the time of Dose 1. - To demonstrate that a 2-dose regimen of ProQuad® rHA administered at a 3-month interval to healthy children of 11 months of age and 9 months of age at the time of Dose 1 is well-tolerated compared to children of 12 months of age at the time of Dose 1. The first primary hypothesis was that a 2-dose regimen of ProQuad® rHA, administered at a 3-month interval to children of 11 months of age, would be non-inferior in terms of antibody response rates to measles, mumps, rubella, and varicella at Day 42 following Dose 2, to the same regimen in children of 12 months of age at the time of Dose 1. If the first primary hypothesis was demonstrated, the second primary hypothesis was that a 2-dose regimen of ProQuad® rHA, administered at a 3-month interval to children of 9 months of age, would be non-inferior in terms of antibody response rates to measles, mumps, rubella, and varicella at Day 42 following Dose 2, to the same regimen in children of 12 months of age at the time of Dose 1. The secondary study objectives are: - To describe the antibody titres to measles, mumps, rubella and varicella at Day 42 following Dose 1 and Dose 2 of ProQuad® rHA administered to healthy children from 9 months of age. - To evaluate the safety profile of Dose 1 and Dose 2 of ProQuad® rHA administered to healthy children from 9 months of age.",2007,11,Phase 3,1620,Completed,Rubella,November,2006-2010,1K-5K
48,GSK,"A Single Blind (Sponsor-unblinded), Placebo-controlled, Parallel-group Study to Investigate the Efficacy and Safety of GSK1070806 in the Treatment of Obese Subjects With T2DM.","GSK1070806 is a humanised IgG1/kappa antibody which is directed against the soluble cytokine interleukin-18 (IL-18). The aims of this placebo controlled study are to evaluate the efficacy, safety, tolerability, pharmacokinetics and pharmacodynamics of GSK1070806 in obese subjects with Type 2 diabetes mellitus (T2DM), and to gain a better understanding of the mechanism by which GSK1070806 exerts its therapeutic effects.",2012,8,Phase 2,37,Completed,Diabetes Mellitus,August,2011-2015,<50
49,Merck,"A Multi-center, 2-Part Study to Evaluate the Pharmacokinetics Safety and Tolerability of Aprepitant in Pediatric Patients Undergoing Surgery","This two part study will determine the appropriate dosing regimen of aprepitant for the prevention of postoperative nausea and vomiting (PONV) in pediatric participants 6 months to 17 years of age, by assessing pharmacokinetic parameters and monitoring safety and tolerability of administered doses. Part I will be an open label investigation of a single dose of aprepitant measuring pharmacokinetics at specified time points up to 48 hours after aprepitant dosing. Part II will be a double blind trial of participants randomized to receive either aprepitant or ondansetron.",2009,1,Phase 1,98,Completed,Postoperative Nausea and Vomiting,January,2006-2010,50-99
50,Merck,"Open-label, Non Placebo-Controlled Study To Verify the Effect of Sitagliptin In Adult Patients With Type 2 Diabetes and Inadequate Glycemic Control",to assess the effect of treatment with Sitagliptin (MK0431) on HbA1c (Hemoglobin A1c) and the safety and tolerability of Sitagliptin.,2008,11,Phase 4,10,Terminated,Diabetes Mellitus,November,2006-2010,<50
51,Novartis,"Double-blind, Randomized, Placebo-controlled, Multi-center Trial to Determine the Safety and Antiviral Effect of 3 Days of BZF961 With or Without Ritonavir Boosting in Hepatitis C Virus (HCV) Infected Patients",To evaluate the antiviral activity of 3 days of BZF961. To determine safety and tolerability of BZF961 in HCV patients. To evaluate pharmacokinetics of BZF961 in HCV patients.,2013,3,Phase 1/Phase 2,54,Completed,Hepatitis C,March,2011-2015,50-99
52,Novartis,A Randomized Investigator and Patient Blind Placebo-controlled Parallel Group First in Human and Proof of Concept Study to Evaluate the Safety Tolerability and Efficacy of CLL442 in Patients With Cutaneous Squamous Cell Carcinoma in Situ,"The purpose of this first in human and proof of concept study is to characterize the safety, tolerability and initial efficacy of CLL442 in patients with Squamous Cell Carcinoma in situ (SCCis) to enable further clinical development of CLL442.",2017,12,Phase 1/Phase 2,40,Completed,Carcinoma,December,2016-2020,<50
53,JNJ,"A Double-Blind, Placebo-Controlled, Multicenter Study of Sirukumab as Adjunctive Treatment to a Monoaminergic Antidepressant in Adults With Major Depressive Disorder","The purpose of this study is to evaluate the efficacy of sirukumab as adjunctive treatment to antidepressant therapy (monoaminergic antidepressant) where sirukumab (administered as a 50 milligram (mg) subcutaneous (SC) injection at Day 1, Day 28 and Day 56 during the 12- week double-blind treatment period) is compared to adjunctive placebo based on the change from baseline to 12-week endpoint in depressive symptoms as measured by the total score on the Hamilton Depression Rating Scale (HDRS), in participants diagnosed with Major Depressive Disorder (MDD) who have had a suboptimal response to the current standard oral antidepressant therapy and have a screening high sensitivity C-Reactive Protein (hsCRP) >=0.300 milligram per deciliters (mg/dL) (International System of Units (SI) 3.00 mg/L). A cohort of subjects with hsCRP <0.300 milligram per deciliter will also be enrolled to allow a better understanding of the relationship between CRP and clinical changes.",2015,7,Phase 2,193,Completed,"Depressive Disorder, Major",July,2011-2015,100-499
54,Novartis,"Tisagenlecleucel Versus Blinatumomab or Inotuzumab for Adult Patients With Relapsed/Refractory B-cell Precursor Acute Lymphoblastic Leukemia: A Randomized Open Label, Multicenter, Phase III Trial",This trial aims to compare the benefits and risks of tisagenlecleucel to blinatumomab or inotuzumab in adult patients with relapsed or refractory ALL. This trial investigates tisagenlecleucel as an additional treatment option for this patient population with high unmet medical need.,2019,1,Phase 3,220,Not yet recruiting,Leukemia,January,2016-2020,100-499
55,Pfizer,"A Multi-center, Long-term, Open-label Study of [S,S]-Reboxetine (PNU-165442G) Administered Once Daily in Patients With Fibromyalgia","To evaluate the lon-term safety and tolerability of [S,S]-reboxetine in patients with fibromyalgia",2007,10,Phase 3,500,Terminated,Fibromyalgia,October,2006-2010,100-499
56,Pfizer,"A 17-Week, Randomized, Double-Blind, Placebo-Controlled, Parallel-Group, Multi-Center Trial Of Pregabalin For The Treatment Of Chronic Central Neuropathic Pain After Spinal Cord Injury",The purpose of this study is to evaluate if pregabalin relieves nerve pain associated with spinal cord injury compared to placebo (pill that contains no active medicine). This study will also evaluate the safety of pregabalin in this patient population.,2007,1,Phase 3,220,Completed,Neuralgia,January,2006-2010,100-499
57,Novartis,"A 12 Week Treatment, Open-label, Multicenter Study to Investigate the Efficacy and Safety of Valsartan 160-320 mg With Regard to Effects on Lipid Subfractions in Hypertensive Patients With Metabolic Syndrome",The purpose of this study is to evaluate potential effects of valsartan on lipid subfractions and other parameters in lipid metabolism in patients with essential hypertension and metabolic syndrome.,2005,11,Phase 3,45,Completed,Hypertension,November,2001-2005,<50
58,Pfizer,"A Multicenter, Double-blind, Placebo Controlled, Parallel Group, Study of Two Dose Levels of Oral Eletriptan and Two Dose Levels of of Oral Sumatriptan Given for the Acute Treatment of Migraine","The objective of this study was to compare the efficacy, toleration and safety of eletriptan 40mg and 80mg, with sumatriptan 25mg and 50mg, and placebo when given orally to subjects with an acute migraine.",1996,12,Phase 3,1141,Completed,Migraine Disorders,December,1996-2000,1K-5K
59,AbbVie,"A Randomized, Multicenter, Single-blind, Placebo-controlled Study Comparing the Analgesic Efficacy and Safety of Hydrocodone/ Acetaminophen Extended-release Tablets and Hydrocodone/Acetaminophen (NORCO) to Placebo in Subjects With Acute Pain Following Third Molar Tooth Extraction",The purpose of this study was to evaluate analgesic efficacy and safety of hydrocodone/acetaminophen compared to placebo in moderate to severe pain following molar extraction.,2009,6,Phase 2,122,Completed,Acute Pain,June,2006-2010,100-499
60,AbbVie,An Extension Study of Navitoclax (ABT-263) in Subjects With Chronic Lymphocytic Leukemia (CLL),Open-label extension study of navitoclax in subjects with chronic lymphocytic leukemia (CLL).,2012,6,Phase 2,17,Completed,"Leukemia, Lymphocytic, Chronic, B-Cell",June,2011-2015,<50
61,Roche,An Open Label Randomized Controlled Study to Compare the Efficacy and Safety of Once Every 4 Weeks Administration of Mircera Versus Short-acting Epoetin for the Maintenance of Hemoglobin Levels in Dialysis Patients With Chronic Renal Anemia.,"This two arm study will compare the maintenance of hemoglobin levels, safety and tolerability of once every 4 weeks subcutaneous administration of Mircera versus epoetin beta in dialysis patients with chronic renal anemia. Patients will be randomized to receive either subcutaneous Mircera (starting dose 120, 200 or 360 micrograms) every 4 weeks or subcutaneous epoetin beta in accordance with the prescribed dosing information. In both groups, the starting dose will be the same as the previous dose of epoetin beta administered in the week preceding first study drug administration. Patients will be treated for 28 weeks with follow up 4 weeks after the last treatment visit. The anticipated time on study treatment is 3-12 months, and the target sample size is 100-500 individuals.",2009,7,Phase 3,281,Completed,Anemia,July,2006-2010,100-499
62,Sanofi,"Randomized, Double-blind, Placebo-controlled, Dose Escalation, Study on Safety, Pharmacokinetics and Pharmacodynamics of Lixisenatide in Pediatric Patients With Type 2 Diabetes Mellitus Not Adequately Controlled With Metformin and/or Basal Insulin",Primary Objective: To demonstrate safety of 14-day repeated lixisenatide doses with 3 ascending doses as compared to placebo in pediatric patients with T2DM. Secondary Objectives: - To evaluate plasma concentrations of lixisenatide after repeated doses (3 ascending doses) and pharmacokinetic parameters of repeated lixisenatide doses in pediatric patients with T2DM. - To evaluate the change from baseline in fasting and post-prandial plasma glucose concentrations during a standardized meal test after 3 ascending repeated doses of lixisenatide in comparison to placebo.,2017,5,Phase 1,24,Recruiting,"Diabetes Mellitus, Type 2",May,2016-2020,<50
63,Roche,"A Multicenter, Phase III, Open-Label, Randomized Study in Previously Untreated Patients With Advanced Indolent Non-Hodgkin's Lymphoma Evaluating the Benefit of GA101 (RO5072759) Plus Chemotherapy Compared With Rituximab Plus Chemotherapy Followed by GA101 or Rituximab Maintenance Therapy in Responders","This open-label, randomized study will assess the efficacy and safety of obinutuzumab (RO5072759) in combination with chemotherapy compared to rituximab (MabThera/Rituxan) with chemotherapy followed by obinutuzumab or rituximab maintenance in participants with untreated advanced indolent non-Hodgkin's lymphoma. After the end of the induction period, participants achieving response (Complete response [CR] or partial response [PR]) will undergo a maintenance period continuing on the randomized antibody treatment alone every 2 months until disease progression for a total of 2 years. Anticipated time on study treatment is up to approximately 2.5 years. After maintenance or observation, participants will be followed for 5 years until progression. After progression, participants will be followed for new anti-lymphoma therapy and overall survival until the end of the study.",2011,7,Phase 3,1401,"Active, not recruiting","Lymphoma, Non-Hodgkin",July,2011-2015,1K-5K
64,Roche,"An Open Label Randomised Controlled Study to Compare the Efficacy, Safety and Tolerability of Once-monthly Administration of Subcutaneous Mircera Versus Darboepoetin Alfa for the Maintenance of Haemoglobin Levels in Renal Transplant Recipients With Chronic Renal Anaemia.","This two arm study will compare the efficacy and safety of subcutaneous Mircera versus darbepoetin alfa for the maintenance of hemoglobin levels in kidney transplant recipients with chronic renal anemia. Patients currently receiving maintenance treatment with darbepoetin alfa will be randomized either to receive 4-weekly injections of Mircera with a starting dose (120, 200 or 360 micrograms subcutaneously) derived from the dose of darbepoetin alfa they were receiving in the 2 weeks preceding study start, or to stay on 2-weekly darbepoetin alfa therapy. The anticipated time on study treatment is 3-12 months, and the target sample size is 100-500 individuals.",2007,12,Phase 3,71,Completed,Anemia,December,2006-2010,50-99
